image,link,text
image-us-01,https://storage.googleapis.com/afs-prod/media/f27f2be635e240ba924d3e9c8fb888e2/1000.jpeg,"Israeli police clash with mourners as they carry the coffin of slain Al Jazeera journalist Shireen Abu Akleh during her funeral in east Jerusalem, on May 13, 2022. Abu Akleh, a Palestinian-American reporter who covered the Mideast conflict for more than 25 years, was shot dead two days earlier during an Israeli military raid in the West Bank town of Jenin."
image-us-02,https://storage.googleapis.com/afs-prod/media/5fcb1b9ddd30492884bbf4a1e7b7db31/1000.jpeg,"Wind whips embers from a burning tree during a wildfire near Hemet, Calif., on Sept. 6, 2022. "
image-us-03,https://storage.googleapis.com/afs-prod/media/c4754d643dd144acb9640817cb1a5fc1/1000.jpeg,"Arsha Begum receives the Covishield vaccine for COVID-19 from Fozia, a healthcare worker, during a COVID-19 vaccination drive in Budgam, southwest of Srinagar, Indian controlled Kashmir, on Jan. 11, 2022."
image-us-04,https://storage.googleapis.com/afs-prod/media/9c89c8feb2c6429e9c55fa6d32440fdd/2000.jpeg,"Matej Svancer of Austria trains ahead of the men's freestyle skiing big air qualification round of the 2022 Winter Olympics in Beijing on Feb. 7, 2022."
image-us-05,https://storage.googleapis.com/afs-prod/media/8aed998c18014c3999e6fdfa2616f706/1000.jpeg,"A Taliban fighter stands guard at the site of an explosion in front of a school in Kabul, Afghanistan, on April 19, 2022. It was one of several deadly explosions that have targeted educational institutions in Afghanistan's capital."
image-us-06,https://storage.googleapis.com/afs-prod/media/bfef44d0016a485b94e5364af4ad6e38/1000.jpeg,"Children play in the Catia neighborhood of Caracas, Venezuela, on Jan. 2, 2022."
image-us-07,https://storage.googleapis.com/afs-prod/media/f198ed3d1f8a424881798ea1111014d5/1000.jpeg,"A man recovers items from a burning shop following a Russian attack in Kharkiv, Ukraine, on March 25, 2022."
image-us-08,https://storage.googleapis.com/afs-prod/media/27ee45518f864ddab3c46173c841d0cc/1000.jpeg,"People throng President Gotabaya Rajapaksa's official residence in Colombo, Sri Lanka, on July 11, 2022, the day after it was stormed by protesters demanding his resignation amid the country's worst economic crisis in recent memory."
image-us-09,https://storage.googleapis.com/afs-prod/media/396fadbec0404340b01cbb4fc14dc92e/1000.jpeg,"A boy cools off in a public fountain in Vilnius, Lithuania, during a heat wave on June 26, 2022. "
image-us-10,https://storage.googleapis.com/afs-prod/media/65996d7b98e941a9b3c438477feb2ae8/1000.jpeg,"Jennica Secuya swims in her mermaid suit during a mermaiding class in Mabini, Batangas province, Philippines, on May 22, 2022."
image-us-11,https://storage.googleapis.com/afs-prod/media/04c3f5fd3a9a40168c9a20fbfae55e12/1000.jpeg,"Revelers dressed as ""Mascaritas"" take part in a traditional carnival celebration in the small village of Luzon, Spain, on Feb. 26, 2022. Preserved records from the fourteenth century document Luzon's carnival, but the real origin of the tradition could be much older."
image-us-12,https://storage.googleapis.com/afs-prod/media/351edc44372f4aee80339b08ed4df017/1000.jpeg,"Motria Oleksiienko, 99 years old and traumatized by the Russian occupation, is comforted by her daughter-in-law, Tetiana Oleksiienko, in a room without heating in the village of Andriivka, Ukraine, as heavy fighting continues between Russian and Ukrainian forces, on April 6, 2022."
image-us-13,https://storage.googleapis.com/afs-prod/media/3d923d7053154e96ad56c79ba7b70fcb/1000.jpeg,"President Joe Biden walks to his motorcade after speaking to reporters at Andrews Air Force Base, Md., on Jan. 28, 2022. "
image-us-14,https://storage.googleapis.com/afs-prod/media/745d5787cdee42f180fc11af3c117362/1000.jpeg,"Vehicles rest on a bridge in Pittsburgh following its collapse on Jan. 28, 2022. Rescuers had to rappel nearly 150 feet (45 meters), while others formed a human chain to help rescue people from a dangling bus."
image-us-15,https://storage.googleapis.com/afs-prod/media/6821f232438b448a84056afb26d47f17/1000.jpeg,"Ukrainian emergency workers and volunteers carry an injured pregnant woman from a maternity hospital damaged by an airstrike in Mariupol, Ukraine, on March 9, 2022. The woman was taken to another hospital, but did not survive."
